--- TILES ---
; tile 0 -- vazio (ceu)
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
; tile 1 -- nuvem
.byte %00000000
.byte %00110000
.byte %01111100
.byte %01111110
.byte %11111111
.byte %11111111
.byte %11111111
.byte %01111100
.byte %00000000
.byte %00110000
.byte %01111100
.byte %01111110
.byte %11111111
.byte %11111111
.byte %11111111
.byte %01111100
; tile 2 -- arbusto/moita
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00100000
.byte %00000000
.byte %00000000
.byte %10000001
.byte %00000000
.byte %00000000
.byte %00011000
.byte %00111100
.byte %01111110
.byte %11111111
.byte %11111111
.byte %01111110
; tile 3 -- grama alta decorativa
.byte %00000000
.byte %00100000
.byte %00000100
.byte %10000000
.byte %00000001
.byte %00000000
.byte %00000000
.byte %10000001
.byte %00000000
.byte %00100000
.byte %00100100
.byte %10100100
.byte %10100101
.byte %10110101
.byte %01111110
.byte %01111110
; tile 4 -- chao (superficie)
.byte %11111111
.byte %00000000
.byte %01000010
.byte %00000000
.byte %00100100
.byte %00000000
.byte %01000010
.byte %00000000
.byte %11111111
.byte %11111111
.byte %10111101
.byte %11111111
.byte %11011011
.byte %11111111
.byte %10111101
.byte %11111111
; tile 5 -- terra (miolo)
.byte %00000000
.byte %00100010
.byte %00000000
.byte %01000100
.byte %00000000
.byte %00010001
.byte %00000000
.byte %01000010
.byte %11111111
.byte %11011101
.byte %11111111
.byte %10111011
.byte %11111111
.byte %11101110
.byte %11111111
.byte %10111101
; tile 6 -- tijolo
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %00010000
.byte %00010000
.byte %00010000
.byte %11111111
.byte %00000001
.byte %00000001
.byte %00000001
; tile 7 -- bloco liso (pedra)
.byte %11111111
.byte %10000001
.byte %10000001
.byte %10000001
.byte %10000001
.byte %10000001
.byte %10000001
.byte %11111111
.byte %11111111
.byte %11111110
.byte %11111110
.byte %11111110
.byte %11111110
.byte %11111110
.byte %11111110
.byte %00000000
; tile 8 -- plataforma ponta esquerda
.byte %00111111
.byte %01000000
.byte %10000000
.byte %10000000
.byte %11111111
.byte %11111111
.byte %01111111
.byte %00111111
.byte %00111111
.byte %01111111
.byte %11111111
.byte %11111111
.byte %10000000
.byte %10000000
.byte %01000000
.byte %00000000
; tile 9 -- plataforma meio
.byte %11111111
.byte %00000000
.byte %00100010
.byte %00000000
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %00000000
.byte %00000000
.byte %00000000
.byte %00000000
; tile 10 -- plataforma ponta direita
.byte %11111100
.byte %00000010
.byte %00000001
.byte %00000001
.byte %11111111
.byte %11111111
.byte %11111110
.byte %11111100
.byte %11111100
.byte %11111110
.byte %11111111
.byte %11111111
.byte %00000001
.byte %00000001
.byte %00000010
.byte %00000000
; tile 11 -- cano topo esquerdo
.byte %11111111
.byte %10000000
.byte %10000000
.byte %11111111
.byte %00110000
.byte %00110000
.byte %00110000
.byte %00110000
.byte %11111111
.byte %11111111
.byte %11111111
.byte %10000000
.byte %00111111
.byte %00111111
.byte %00111111
.byte %00111111
; tile 12 -- cano topo direito
.byte %11111111
.byte %00000011
.byte %00000011
.byte %11111111
.byte %00001100
.byte %00001100
.byte %00001100
.byte %00001100
.byte %11111111
.byte %11111100
.byte %11111100
.byte %00000000
.byte %11110000
.byte %11110000
.byte %11110000
.byte %11110000
; tile 13 -- cano corpo esquerdo
.byte %00110000
.byte %00110000
.byte %00110000
.byte %00110000
.byte %00110000
.byte %00110000
.byte %00110000
.byte %00110000
.byte %00111111
.byte %00111111
.byte %00111111
.byte %00111111
.byte %00111111
.byte %00111111
.byte %00111111
.byte %00111111
; tile 14 -- cano corpo direito
.byte %00001100
.byte %00001100
.byte %00001100
.byte %00001100
.byte %00001100
.byte %00001100
.byte %00001100
.byte %00001100
.byte %11110000
.byte %11110000
.byte %11110000
.byte %11110000
.byte %11110000
.byte %11110000
.byte %11110000
.byte %11110000
; tile 15 -- bloco com marca
.byte %11111111
.byte %10000001
.byte %10011001
.byte %10111101
.byte %10011001
.byte %10000001
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %11111111
.byte %10000001
.byte %11111111
--- MAPA ---
00000000000000000000000000000000
00000000000000000000000000000000
00000000000000000000000000000000
00000000000000000000000000000000
00000000000000000000000000000000
00000010000000000000100000000000
00000000000010000000000000000000
00100000000000000000000001000000
00000000000000000100000000000000
00000000100000000000000000000100
00000000000000000000010000000000
00000000000000000000000000000000
00000000000000000000000000000000
000000000000899A0000000000000000
00000000000000000000000000000000
00000F6F00000000000000000000899A
00000000000000000000000000000000
000000000899A00000899A0000000000
0000000000000000000000006F66F600
00000000000000000000000000000000
000089A000000089A00000BC00000000
00000000BC0000000089A0DE089A0000
00000000DE000000000000DE00000000
03000200DE003002003000DE00200303
44444444444444444444444444444444
55555555555555555555555555555555
55555555555555555555555555555555
55555555555555555555555555555555
00000000000000000000000000000000
00000000000000000000000000000000
